code,level,name,shortName,presentationName,validFrom,validTo
0101,1,Halden,,,2013-01-01,2014-01-01
0104,1,Moss,,,2013-01-01,2014-01-01
0105,1,Sarpsborg,,,2013-01-01,2014-01-01
0106,1,Fredrikstad,,,2013-01-01,2014-01-01
0111,1,Hvaler,,,2013-01-01,2014-01-01
0118,1,Aremark,,,2013-01-01,2014-01-01
0119,1,Marker,,,2013-01-01,2014-01-01
0121,1,Rømskog,,,2013-01-01,2014-01-01
0122,1,Trøgstad,,,2013-01-01,2014-01-01
0123,1,Spydeberg,,,2013-01-01,2014-01-01
0124,1,Askim,,,2013-01-01,2014-01-01
0125,1,Eidsberg,,,2013-01-01,2014-01-01
0127,1,Skiptvet,,,2013-01-01,2014-01-01
0128,1,Rakkestad,,,2013-01-01,2014-01-01
0135,1,Råde,,,2013-01-01,2014-01-01
0136,1,Rygge,,,2013-01-01,2014-01-01
0137,1,Våler,,,2013-01-01,2014-01-01
0138,1,Hobøl,,,2013-01-01,2014-01-01
0211,1,Vestby,,,2013-01-01,2014-01-01
0213,1,Ski,,,2013-01-01,2014-01-01
0214,1,Ås,,,2013-01-01,2014-01-01
0215,1,Frogn,,,2013-01-01,2014-01-01
0216,1,Nesodden,,,2013-01-01,2014-01-01
0217,1,Oppegård,,,2013-01-01,2014-01-01
0219,1,Bærum,,,2013-01-01,2014-01-01
0220,1,Asker,,,2013-01-01,2014-01-01
0221,1,Aurskog-Høland,,,2013-01-01,2014-01-01
0226,1,Sørum,,,2013-01-01,2014-01-01
0227,1,Fet,,,2013-01-01,2014-01-01
0228,1,Rælingen,,,2013-01-01,2014-01-01
0229,1,Enebakk,,,2013-01-01,2014-01-01
0230,1,Lørenskog,,,2013-01-01,2014-01-01
0231,1,Skedsmo,,,2013-01-01,2014-01-01
0233,1,Nittedal,,,2013-01-01,2014-01-01
0234,1,Gjerdrum,,,2013-01-01,2014-01-01
0235,1,Ullensaker,,,2013-01-01,2014-01-01
0236,1,Nes,,,2013-01-01,2014-01-01
0237,1,Eidsvoll,,,2013-01-01,2014-01-01
0238,1,Nannestad,,,2013-01-01,2014-01-01
0239,1,Hurdal,,,2013-01-01,2014-01-01
0301,1,Oslo,,,2013-01-01,2014-01-01
0402,1,Kongsvinger,,,2013-01-01,2014-01-01
0403,1,Hamar,,,2013-01-01,2014-01-01
0412,1,Ringsaker,,,2013-01-01,2014-01-01
0415,1,Løten,,,2013-01-01,2014-01-01
0417,1,Stange,,,2013-01-01,2014-01-01
0418,1,Nord-Odal,,,2013-01-01,2014-01-01
0419,1,Sør-Odal,,,2013-01-01,2014-01-01
0420,1,Eidskog,,,2013-01-01,2014-01-01
0423,1,Grue,,,2013-01-01,2014-01-01
0425,1,Åsnes,,,2013-01-01,2014-01-01
0426,1,Våler,,,2013-01-01,2014-01-01
0427,1,Elverum,,,2013-01-01,2014-01-01
0428,1,Trysil,,,2013-01-01,2014-01-01
0429,1,Åmot,,,2013-01-01,2014-01-01
0430,1,Stor-Elvdal,,,2013-01-01,2014-01-01
